Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[individual]	Characteristics[stimulus]	Characteristics[organism part]	Characteristics[cell type]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[READ_TYPE]	Comment[READ_INDEX]	Factor Value[stimulus]	Factor Value[organism part]	Factor Value[cell type]	Factor Value[single cell library construction]
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L001	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L001_I1_001.fastq.gz	SampleID_1_14nov18_S1_L001_I1_001.fastq.gz	ERR9871454	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871454/SampleID_1_14nov18_S1_L001_I1_001.fastq.gz	sample_barcode	index1	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L001	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L001_R1_001.fastq.gz	SampleID_1_14nov18_S1_L001_R1_001.fastq.gz	ERR9871454	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871454/SampleID_1_14nov18_S1_L001_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L001	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L001_R2_001.fastq.gz	SampleID_1_14nov18_S1_L001_R2_001.fastq.gz	ERR9871454	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871454/SampleID_1_14nov18_S1_L001_R2_001.fastq.gz	single	read2	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L002	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L002_I1_001.fastq.gz	SampleID_1_14nov18_S1_L002_I1_001.fastq.gz	ERR9871455	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871455/SampleID_1_14nov18_S1_L002_I1_001.fastq.gz	sample_barcode	index1	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L002	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L002_R1_001.fastq.gz	SampleID_1_14nov18_S1_L002_R1_001.fastq.gz	ERR9871455	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871455/SampleID_1_14nov18_S1_L002_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L002	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L002_R2_001.fastq.gz	SampleID_1_14nov18_S1_L002_R2_001.fastq.gz	ERR9871455	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871455/SampleID_1_14nov18_S1_L002_R2_001.fastq.gz	single	read2	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L003	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L003_I1_001.fastq.gz	SampleID_1_14nov18_S1_L003_I1_001.fastq.gz	ERR9871456	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871456/SampleID_1_14nov18_S1_L003_I1_001.fastq.gz	sample_barcode	index1	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L003	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L003_R1_001.fastq.gz	SampleID_1_14nov18_S1_L003_R1_001.fastq.gz	ERR9871456	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871456/SampleID_1_14nov18_S1_L003_R1_001.fastq.gz	cell_barcode, umi_barcode	read1	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L003	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L003_R2_001.fastq.gz	SampleID_1_14nov18_S1_L003_R2_001.fastq.gz	ERR9871456	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871456/SampleID_1_14nov18_S1_L003_R2_001.fastq.gz	single	read2	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
Sample 3	ERS12273093	SAMEA110174279	Mus musculus	C57BL/6	10 to 20	week	EFO	UO_0000034	adult	mixed	wild type genotype	Mouse 3	No pretreatment	Peyer's patch	CD3+ T cell	cell	P-MTAB-122677	P-MTAB-122678	P-MTAB-122679	Sample 3	PAIRED	RT-PCR	TRANSCRIPTOMIC SINGLE CELL	not applicable	ssRNA-seq	10x 5' v1	5 prime tag	polyA RNA	oligo-dT	10x	none	read2	0	98	0	read1	16	16	read2	10	0	index1	8	P-MTAB-122680	Genomics Core Facility. Sahlgrenska University Hospital, Gothenburg, Sweden	SampleID_1_14nov18_S1_L004	sequencing assay	ERX9416732	SampleID_1_14nov18_S1_L004_I1_001.fastq.gz	SampleID_1_14nov18_S1_L004_I1_001.fastq.gz	ERR9871457	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR987/ERR9871457/SampleID_1_14nov18_S1_L004_I1_001.fastq.gz	sample_barcode	index1	No pretreatment	Peyer's patch	CD3+ T cell	10x 5' v1
