gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Niban1,73.6006365870075,1.2882404724948415,0.32621670092000765,3.9490328633135614,7.846757961405546e-5,0.015198734240244687
Sccpdh,31.171273219520593,3.937099005407265,0.940206469551042,4.187483422962692,2.820646155032503e-5,0.007564756015016016
Rgs16,31.91610100013554,2.075949804848785,0.5832885873252178,3.559044099197025,3.722070367729452e-4,0.03765146009188829
Il10,78.86587848241628,5.683540588882967,1.1347468256824675,5.008641980967632,5.481543088548896e-7,6.20147638213532e-4
Icos,290.24499278607766,1.6149009849770073,0.3523980035330798,4.582605374565964,4.592181668119547e-6,0.002360696416778706
Il1r1,9.785160074196671,5.736685269315973,1.467420143221074,3.9093679447002883,9.253792491692542e-5,0.016131673761143023
Lime1,11.11374719700899,1.7317038082877492,0.40477300984138037,4.2782096784722805,1.8840250998961892e-5,0.006255860486464823
Nebl,20.67940493897165,2.4364128037015336,0.6798806579373415,3.5835889361719064,3.3890529678530084e-4,0.03747045156183004
Tox2,41.84407280061792,3.2265781209347866,0.7344052437251473,4.393457356824566,1.1156208065831746e-5,0.004015614929784309
Zc3h6,11.824508130473813,-1.4585181063967985,0.37220261311730435,-3.9186132901681914,8.905986765566075e-5,0.015923447619562114
Sdcbp2,32.058475517490095,1.2134436824972408,0.3284856122179573,3.6940542823290983,2.20706655091536e-4,0.029037500112326045
Neb,35.12677649960442,1.6978494237638442,0.4778512752117784,3.5530917501713817,3.8073164879652165e-4,0.03765146009188829
Hspa5,254.7881606668334,1.3746035228073923,0.3077931561632505,4.465997684751366,7.969647144513307e-6,0.0034732718461682054
Ttc14,52.89547554605381,-0.7360377714564701,0.16649452422518982,-4.4207926649945115,9.833949657505232e-6,0.003971857396352258
Rorc,16.6064659527306,4.151058662078615,1.0748201357345275,3.8620961071238202,1.1241832252775863e-4,0.01911934056063563
S100a11,269.15420829998527,1.7850470771634162,0.37713086052899575,4.733229931540362,2.209749218139149e-6,0.0014661455897135001
S100a4,34.94933772151977,5.415797033145088,1.1835240094045028,4.575992535943634,4.7396744349493595e-6,0.002360696416778706
S100a6,128.03539845556583,3.4002427839344165,0.5406852064900899,6.288766075194511,3.1999923219445714e-10,1.1156773230459748e-6
Isg15,103.87365265058602,1.2215747053610455,0.3488779945411798,3.5014381086648245,4.62754440212435e-4,0.044202557693168616
Atp6v0d2,37.12494998696008,2.695965317616227,0.687045801214327,3.9239964975423938,8.709200184070611e-5,0.015923447619562114
Ubl3,78.27692335392234,1.3731129594822933,0.33858645260000353,4.0554279385314045,5.004259902177849e-5,0.011256356225124562
Cxcl10,16.190861820986278,3.576028181869953,0.981554253310237,3.64323028483652,2.692377562283078e-4,0.03352490846749983
Cct6a,56.30166016376036,0.6300436071093936,0.15359372504285426,4.102013978328898,4.095695232840916e-5,0.009676527886458017
AI480526,11.68021550050336,-1.5881414844829127,0.43779261283208626,-3.6276114258968515,2.8605533655322925e-4,0.034994102838345045
Clec2d,91.61355964778336,-1.218262891037027,0.305094706369329,-3.9930646635417935,6.522477186063725e-5,0.013376833358359517
Tigd2,39.43258634589892,-0.6845606624397034,0.15605991384185489,-4.386524672398646,1.1517610583061264e-5,0.004015614929784309
Lag3,193.37020783717784,1.5485264259400375,0.41473281168642145,3.733792895824396,1.886176124307429e-4,0.026304612229591406
Ramac,67.24975844765365,0.5728591695324493,0.15961987840749217,3.5888961653635785,3.3208106401759664e-4,0.03747045156183004
Stard5,22.439237742815504,-0.9866619792301363,0.24075295732372543,-4.098234099377786,4.163141210293138e-5,0.009676527886458017
Zfp329,12.809244903904991,-1.2020462788830433,0.33446842451554637,-3.593900621932015,3.257641300389668e-4,0.03747045156183004
Adam12,19.021512954056895,3.7982796200314497,1.0048636136109768,3.7798956680124323,1.568940876944167e-4,0.023277073904109952
Nav2,70.36907579205518,3.478848422970828,0.5119863200794988,6.7948073738193795,1.0845734317545478e-11,7.562730539624462e-8
Gramd1a,60.29742030872868,0.6579341824945664,0.18415094872376314,3.5727982237088822,3.53186901860782e-4,0.03765146009188829
Trpm4,9.070505894421697,1.6915721843306806,0.44324795871289746,3.8163112792276914,1.3546159442879332e-4,0.02196683018492967
Srgn,930.9315603078576,0.9616571209831903,0.259962060843035,3.699221024270301,2.1626220855173247e-4,0.029037500112326045
Stx11,48.36684308977606,2.4638249627727533,0.627852001840886,3.9242129602975298,8.70137381720387e-5,0.015923447619562114
Gadd45b,168.1208684314975,3.6433844081139424,0.7442335467934954,4.895485326899518,9.806340909059655e-7,7.597735017652553e-4
Maf,232.62091823533393,1.8881997483240631,0.4562456157933745,4.1385597646579795,3.494928372887509e-5,0.0087036198371945
Arf4,197.85576116152322,1.4149670571557351,0.38405996266498,3.6842347412037517,2.2939076896992514e-4,0.029621145037542367
Selenok,156.66829090513534,0.6141648550651311,0.1540756398594727,3.986125617425899,6.71609644823389e-5,0.013380383009581404
Bcl2a1b,98.44316089814284,1.3605459027039017,0.3904911759306867,3.484191158638121,4.936267918995351e-4,0.046514319188046736
Morf4l1,218.3177234554431,0.37535683565174327,0.08880401390667379,4.226800334117943,2.370378239490114e-5,0.00688693644331857
Icam1,46.435067794403324,1.552120310329034,0.42901942967310347,3.6178322075335627,2.9708088443939685e-4,0.03511093232535448
Ccr4,40.15778416765449,2.2303596598739666,0.5239927588292597,4.25647038492896,2.0767953158370895e-5,0.0065824971533327385
Rora,113.82793153627298,2.7822542678274704,0.6306435286209386,4.4117701071341715,1.0252894469287342e-5,0.003971857396352258
Ccr2,67.06328020713678,6.249080671320677,1.2603520901009828,4.95820233123903,7.114844551424431e-7,6.20147638213532e-4
Cxcr6,41.70932648244642,2.953243703990725,0.8293031725708337,3.5611146823853224,3.692837351260997e-4,0.03765146009188829
Rsl24d1,30.177470776218268,0.7362288814252353,0.19380479496930558,3.798816647141459,1.4538859599507551e-4,0.022528770663859145
Gm9856,9.929394242013235,-1.4951882192243655,0.40795005747000845,-3.6651256491961353,2.4721718004900033e-4,0.03134264357239417
Prkar1a,201.71750255010028,0.8261215113648495,0.19948622057740575,4.14124599169642,3.45424259208602e-5,0.0087036198371945
Fam20a,15.871822137337498,5.0658695677096475,1.1110937033672112,4.5593540421994465,5.131120441445981e-6,0.0023852868558801887
Mir142hg,270.6208525655273,-1.3851045116675564,0.365794217635877,-3.786567542317831,1.52742591679941e-4,0.023153784604004968
Slc35b3,38.330995779420086,-0.6280163424697067,0.1648287690976775,-3.8101136464687446,1.3890292558246548e-4,0.02201295682014845
Egln3,21.68671499842196,2.440070782707692,0.5772215500815444,4.227269031038397,2.3654478192866676e-5,0.00688693644331857
Nfkbia,530.9152232914983,1.5183661169724154,0.42720821571340323,3.5541594499461264,3.791892426695876e-4,0.03765146009188829
Id2,107.70508834491473,2.044582857239405,0.41113177353159724,4.973059707053436,6.590435192636695e-7,6.20147638213532e-4
Asb2,61.57151758006688,2.7976579367320284,0.5922262219071762,4.723968364187908,2.3128641168576655e-6,0.0014661455897135001
Myh9,285.6034939596764,-0.4176888401216872,0.11537965133510505,-3.6201256919087474,2.9445994064244616e-4,0.03511093232535448
Prr13,163.8810199136262,0.6332706373868157,0.1655328384152078,3.825649601913888,1.3042769846613073e-4,0.02165410336676975
Tigit,106.87572534063997,3.1664604642333036,0.5977591077537265,5.29721826595383,1.1758011889182049e-7,2.7329538967755477e-4
Tra2b,184.4838613291737,1.1858492855708593,0.254843932146484,4.653237279705897,3.267638611993543e-6,0.0018987703367859146
Pja2,17.467217695720205,-0.9970327301873828,0.2696134233733077,-3.6980084956930646,2.17297618096751e-4,0.029037500112326045
Myl12b,155.32496190446872,0.8934933812812951,0.21306938119509836,4.193438664296687,2.7475739229830723e-5,0.007564756015016016
Myl12a,173.39819273140722,0.74468980982498445,0.21034379289570035,3.540346019120428,3.996027417086654e-4,0.03870041552686839
Sytl3,10.631439712107257,4.026903350329712,1.1249096079561676,3.5797572728053555,3.439135092438151e-4,0.03747045156183004
Airn,97.50885283491114,-1.225738022035979,0.30408821110730877,-4.030863339202032,5.5572349943187806e-5,0.011828498078740599
Mapre2,51.56829395883052,1.398696602700064,0.3920350280551229,3.5677847707613446,3.6001202531771667e-4,0.03765146009188829
Zfp397,9.98209793125515,-1.1609941247434006,0.3103203428645023,-3.741276237408435,1.8308814615024203e-4,0.02605456414501301
Pura,21.680050718119794,-1.3354542218589496,0.376049408075944,-3.551273298612005,3.833721018964676e-4,0.03765146009188829
Ttc39c,17.6720059152856,4.4742519965118825,0.8868498697934711,5.045106448010014,4.5326894794267056e-7,6.20147638213532e-4
Slc3a2,102.40885378492513,1.3809310842951226,0.3849184160907445,3.5875942188475807,3.3374315003481905e-4,0.03747045156183004
mt-Nd1,868.7887646974498,-0.5254145171990288,0.10350812294735026,-5.076070382092452,3.8532061292081964e-7,6.20147638213532e-4
mt-Nd2,458.0339125707179,-0.547741669382762,0.13594471247045514,-4.029150229008007,5.597883788877667e-5,0.011828498078740599
mt-Cytb,1304.8032841667036,-0.49717680578289797,0.1318093013735375,-3.771940224263361,1.6198306639092928e-4,0.02353141504049896
